Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
,null,467.0,9.0,21.0,5.0,4.0,62.0,5285000396437,Pour in Poe خدا کی كس ع الكل 100 غ حمد الحنة 1 0 SA) } سرده سرده 5285000396437 743729 134131 44 A Net Weight Poid Net,N/A
Indomie Shrimp Noodles,Indomie,314.0,6.0,12.0,2.0,3.0,45.0,0089686120110,"de Blé tendre, huile s (94,0%) de palme, sel, Stabilisateurs : carbonate assium (E501i), polyphosphate de sodium (E500i), Épaississant : V(E412), Colorant : B2 ânüoxydant : TBHQ (E319). Sel, d'assaisonnement (5.6%) exhausteur de gout (E621), aroma du exfrait de levure, poudre d'ail, piment (0.4%).",N/A
Medium Egg Noodles imp,"Sharwood's,Premier Foods",142.0,5.38,0.828,0.483,0.257,27.6,5000354924712,"Wheat Flour, Pasteurised Egg (2%), Salt, Acidity Regulator (Potassium Carbonate). Allergy Advice: For allergens, including cereals containing gluten, see ingredients in bold. May also contain milk, sesame and soya.",N/A
Shin Ramyun Noodle Gourmet Spicy,"Nongshim, chinanudeln",422.0,8.2,13.0,3.0,3.8,68.0,8801043150620,"noodles 89%: wheat flour, potato starch, palm oil, salt, acidity regulators: e501, e500, e339, antioxidant: e306, emulsifier: e322 (contains soy), seasoning (yeast extract, soybean, garlic, wheat starch), green tea extract, colour: e101, seasoning powder 9%: seasoning (hydrolyzed vegetable protein (soy), maltodextrin, yeast extract, salt, wheat flour), salt, spices (maltodextrin, black pepper, red chili pepper, garlic, corn flour),    flavour enhancers: e621, e627, e631, sugar, glucose, shiitake, vegetable mushroom flakes 2%: pak-choi, shiitake, textured vegetable protein (soy, wheat gluten), carrot, red chili pepper, onion, may contain barley, crustaceans, eggs, fish, peanuts, milk, celery, mustard, sesame seeds and molluscs,",N/A
yum yum Shrimps,Yum Yum,77.6,1.21,4.21,0.395,0.842,8.74,8852018101055,"_Weizen_mehl, Palmöl (Palmöl, Antioxidationsmittel: E319, E306), Tapiokastärke, Salz, Zucker, Gemüse (Knoblauch, Zwiebel, Frühlingszwiebel), Gewürze (Chili, Galgant), Geschmacksverstärker: E621, E635, Säuerungsmittel: E296, E330, _Soja_saucenpulver (_Soja_bohnen, Glukosesirup, Maltodextrin, Farbstoff: E150c), Säureregulatoren: E500, E452, E451, Maltodextrin, Maisstärke, _Fisch_sauce (_Sardellen_extrakt, Salz, Zucker), _Garnelen_ 0,2%, Zitronengras, Aroma, Verdickungsmittel: E466, Hefeextrakt, Farbstoff: E160c.",N/A
Vermicelles de riz Suzi Wan 250 g,Suzi Wan,134.0,2.2,0.5,0.313,0.0125,30.0,4002359650178,"rice flour 100%,",N/A
Medium Egg Noodles,"Taste Of,Lidl",362.3,13.5,2.3,1.8,,69.7,4056489365310,"Soft Wheat Flour, Durum Wheat Flour, 4% Free Range Egg, Salt, Acidity Regulator: Potassium Carbonates.",N/A
Super Noodles Chicken Flavour,Batchelors,438.0,8.8,18.8,1.0,1.38,57.2,5000354405099,"Noodles (Water, _Wheat_ Flour (with added Calcium, Iron, Niacin, Thiamin), Palm Oil, Antioxidants (Butylated Hydroxyanisole, Citric Acid, Propyl Gallate)), Maltodextrin, Salt, Flavour Enhancers (Monosodium Glutamate, Disodium 5'-ribonucleotides), Dextrose, Yeast Extract, Onion, Garlic, Potassium Chloride, Flavouring, Ground Turmeric, Malic Acid, Parsley, Black Pepper Extract",N/A
YumYum Beef,YumYum,79.0,1.2,4.3,0.4,,8.6,8852018101017,"_Weizenmehl_, Palmöl (Palmöl, Antioxidationsmittel: E319, E320), Tapiokastärke, Salz, Gemüse (Kohl, Knoblauch), Geschmacksverstärker: E621, E635, Zucker, Gewürze (Chili, Pfeffer, Sternanis, Ingwer, Zimt), Glukosesirup, _Sojasaucenpulver _(_Sojabohnen, _Weizen_, Glukosesirup, Maltodextrin, Farbstoff: E150c, Säuerungsmittel: E330, Palmöl), Säureregulatoren: E500, E452, E451, Säuerungsmittel: E296, Farbstoff: E150c, Aroma, Verdickungsmittel: E466, Hefeextrakt.",N/A
Medium Egg Noodles,"Aldi,Asia Specialities",158.0,5.9,1.0,0.8,0.33,30.4,4088600401096,"_Wheat_ Flour, Durum _Wheat_ Flour, PASTEURISED FREE RANGE _EGG_ 4%, Salt, Acidity Regulator (Potassium Carbonates)",N/A
Nudeln Bio-Organic Vollkorn-Spaghetti,"Combino, Lidl",343.0,13.0,1.9,4.3,0.0,65.0,20995744,"Semoule de _blé_ dur complet,",N/A
blue dragon wholewheat noodles,Blue Dragon,165.0,7.0,0.7,0.8,0.22,30.0,5010338103781,"Wholemeal Wheat Flour (60%). Wheat Flour (Wheat Flour, Calcium Carbonate. Iron, Niacin, Thiamin). Water, Salt, Firming Agents (Potassium Carbonate, Sodium Carbonate).",N/A
Ramen,Noody,440.0,10.8,17.8,3.0,3.0,57.9,6111269970417,N/A,N/A
